1a,གཅིག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360006.tif/full/max/0/default.png
2a,གཉིས་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360007.tif/full/max/0/default.png
2b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360008.tif/full/max/0/default.png
3a,གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360009.tif/full/max/0/default.png
3b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360010.tif/full/max/0/default.png
4a,བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360011.tif/full/max/0/default.png
4b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360012.tif/full/max/0/default.png
5a,ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360013.tif/full/max/0/default.png
5b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360014.tif/full/max/0/default.png
6a,དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360015.tif/full/max/0/default.png
6b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360016.tif/full/max/0/default.png
7a,བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360017.tif/full/max/0/default.png
7b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360018.tif/full/max/0/default.png
8a,བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360019.tif/full/max/0/default.png
8b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360020.tif/full/max/0/default.png
9a,དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360021.tif/full/max/0/default.png
9b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360022.tif/full/max/0/default.png
10a,བཅུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360023.tif/full/max/0/default.png
10b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360024.tif/full/max/0/default.png
11a,བཅུ་གཅིག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360025.tif/full/max/0/default.png
11b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360026.tif/full/max/0/default.png
12a,བཅུ་གཉིས་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360027.tif/full/max/0/default.png
12b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360028.tif/full/max/0/default.png
13a,བཅུ་གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360029.tif/full/max/0/default.png
13b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360030.tif/full/max/0/default.png
14a,བཅུ་བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360031.tif/full/max/0/default.png
14b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360032.tif/full/max/0/default.png
15a,བཅོ་ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360033.tif/full/max/0/default.png
15b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360034.tif/full/max/0/default.png
16a,བཅུ་དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360035.tif/full/max/0/default.png
16b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360036.tif/full/max/0/default.png
17a,བཅུ་བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360037.tif/full/max/0/default.png
17b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360038.tif/full/max/0/default.png
18a,བཅོ་བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360039.tif/full/max/0/default.png
18b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360040.tif/full/max/0/default.png
19a,བཅུ་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360041.tif/full/max/0/default.png
19b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360042.tif/full/max/0/default.png
20a,ཉི་ཤུ,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360043.tif/full/max/0/default.png
20b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360044.tif/full/max/0/default.png
21a,ཉེར་གཅིག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360045.tif/full/max/0/default.png
21b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360046.tif/full/max/0/default.png
22a,ཉེར་གཉིས་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360047.tif/full/max/0/default.png
22b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360048.tif/full/max/0/default.png
23a,ཉེར་གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360049.tif/full/max/0/default.png
23b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360050.tif/full/max/0/default.png
24a,ཉེར་བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360051.tif/full/max/0/default.png
24b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360052.tif/full/max/0/default.png
25a,ཉེར་ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360053.tif/full/max/0/default.png
25b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360054.tif/full/max/0/default.png
26a,ཉེར་དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360055.tif/full/max/0/default.png
26b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360056.tif/full/max/0/default.png
27a,ཉེར་བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360057.tif/full/max/0/default.png
27b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360058.tif/full/max/0/default.png
28a,ཉེར་བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360059.tif/full/max/0/default.png
28b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360060.tif/full/max/0/default.png
29a,ཉེར་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360061.tif/full/max/0/default.png
29b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360062.tif/full/max/0/default.png
30a,སུམ་བཅུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360063.tif/full/max/0/default.png
30b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360064.tif/full/max/0/default.png
31a,སོ་གཅིག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360065.tif/full/max/0/default.png
31b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360066.tif/full/max/0/default.png
32a,སོ་གཉིས་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360067.tif/full/max/0/default.png
32b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360068.tif/full/max/0/default.png
33a,སོ་གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360069.tif/full/max/0/default.png
33b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360070.tif/full/max/0/default.png
34a,སོ་བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360071.tif/full/max/0/default.png
34b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360072.tif/full/max/0/default.png
35a,སོ་ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360073.tif/full/max/0/default.png
35b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360074.tif/full/max/0/default.png
36a,སོ་དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360075.tif/full/max/0/default.png
36b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360076.tif/full/max/0/default.png
37a,སོ་བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360077.tif/full/max/0/default.png
37b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360078.tif/full/max/0/default.png
38a,སོ་བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360079.tif/full/max/0/default.png
38b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360080.tif/full/max/0/default.png
39a,སོ་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360081.tif/full/max/0/default.png
39b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360082.tif/full/max/0/default.png
22b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360048.tif/full/max/0/default.png
23a,ཉེར་གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360049.tif/full/max/0/default.png
23b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360050.tif/full/max/0/default.png
24a,ཉེར་བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360051.tif/full/max/0/default.png
24b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360052.tif/full/max/0/default.png
25a,ཉེར་ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360053.tif/full/max/0/default.png
25b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360054.tif/full/max/0/default.png
26a,ཉེར་དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360055.tif/full/max/0/default.png
26b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360056.tif/full/max/0/default.png
27a,ཉེར་བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360057.tif/full/max/0/default.png
27b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360058.tif/full/max/0/default.png
28a,ཉེར་བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360059.tif/full/max/0/default.png
28b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360060.tif/full/max/0/default.png
29a,ཉེར་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360061.tif/full/max/0/default.png
29b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360062.tif/full/max/0/default.png
30a,སུམ་བཅུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360063.tif/full/max/0/default.png
30b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360064.tif/full/max/0/default.png
31a,སོ་གཅིག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360065.tif/full/max/0/default.png
31b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360066.tif/full/max/0/default.png
32a,སོ་གཉིས་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360067.tif/full/max/0/default.png
32b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360068.tif/full/max/0/default.png
33a,སོ་གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360069.tif/full/max/0/default.png
33b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360070.tif/full/max/0/default.png
34a,སོ་བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360071.tif/full/max/0/default.png
34b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360072.tif/full/max/0/default.png
35a,སོ་ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360073.tif/full/max/0/default.png
35b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360074.tif/full/max/0/default.png
36a,སོ་དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360075.tif/full/max/0/default.png
36b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360076.tif/full/max/0/default.png
37a,སོ་བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360077.tif/full/max/0/default.png
37b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360078.tif/full/max/0/default.png
38a,སོ་བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360079.tif/full/max/0/default.png
38b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360080.tif/full/max/0/default.png
39a,སོ་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360081.tif/full/max/0/default.png